(1) Finding optimal number of max depth for Decision Tree Classifier.
>> Predicted attribute: annual-income
Generalization error (10-fold cross-validation): 0.2478439697492371
Generalization error (10-fold cross-validation): 0.17588784220069875
Generalization error (10-fold cross-validation): 0.16043076378753704
Generalization error (10-fold cross-validation): 0.1600990668258812
Generalization error (10-fold cross-validation): 0.15399584273141392
Generalization error (10-fold cross-validation): 0.14875503073725177
Generalization error (10-fold cross-validation): 0.14871080447569765
Generalization error (10-fold cross-validation): 0.14866657821414353
Generalization error (10-fold cross-validation): 0.14563707929768696
Generalization error (10-fold cross-validation): 0.14486311972049
Generalization error (10-fold cross-validation): 0.14722922471363492
Generalization error (10-fold cross-validation): 0.14826854186015656
Generalization error (10-fold cross-validation): 0.14842333377559594
Generalization error (10-fold cross-validation): 0.14975012162221926
Generalization error (10-fold cross-validation): 0.15430542656229265
Generalization error (10-fold cross-validation): 0.15605236389368007
Generalization error (10-fold cross-validation): 0.15877227897925789
Generalization error (10-fold cross-validation): 0.1602980850028747
Generalization error (10-fold cross-validation): 0.16376984653487242
Generalization error (10-fold cross-validation): 0.1670868161514307
Generalization error (10-fold cross-validation): 0.1695192605369068
Generalization error (10-fold cross-validation): 0.17071336959886782
Generalization error (10-fold cross-validation): 0.1741851311308655
Generalization error (10-fold cross-validation): 0.1772588563088762
Generalization error (10-fold cross-validation): 0.17759055327053203
Generalization error (10-fold cross-validation): 0.1808854097563133
Generalization error (10-fold cross-validation): 0.17977975321746054
Generalization error (10-fold cross-validation): 0.18026624209455572
Generalization error (10-fold cross-validation): 0.1825217814338154
Generalization error (10-fold cross-validation): 0.18353898544955996
Generalization error (10-fold cross-validation): 0.1846446419884127
Generalization error (10-fold cross-validation): 0.18548494095794082
Generalization error (10-fold cross-validation): 0.1856839591349343
Generalization error (10-fold cross-validation): 0.1850426783423997
Generalization error (10-fold cross-validation): 0.18530803591172437
Generalization error (10-fold cross-validation): 0.18603776922736717
Generalization error (10-fold cross-validation): 0.18546282782716375
Generalization error (10-fold cross-validation): 0.18594931670425896
